2026-02-25 04:53:30.249 [main] INFO  com.cryptorate.CryptoRateApplication - Starting CryptoRateApplication using Java 17.0.10 with PID 26600 (C:\Users\ASUS\Desktop\毕业设计\CryptoRate\target\classes started by ASUS in C:\Users\ASUS\Desktop\毕业设计\CryptoRate)
2026-02-25 05:03:51.482 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:03:51.482 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:04:21.475 [http-nio-8080-exec-7] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:04:21.475 [http-nio-8080-exec-7] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:04:44.959 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - CryptoRateHikariPool - Shutdown initiated...
2026-02-25 05:04:44.965 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - CryptoRateHikariPool - Shutdown completed.
2026-02-25 05:04:48.858 [main] INFO  com.cryptorate.CryptoRateApplication - Starting CryptoRateApplication using Java 17.0.10 with PID 24440 (C:\Users\ASUS\Desktop\毕业设计\CryptoRate\target\classes started by ASUS in C:\Users\ASUS\Desktop\毕业设计\CryptoRate)
2026-02-25 05:04:48.860 [main] DEBUG com.cryptorate.CryptoRateApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-02-25 05:04:48.860 [main] INFO  com.cryptorate.CryptoRateApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-25 05:04:49.745 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-25 05:04:49.757 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-25 05:04:49.757 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-02-25 05:04:49.809 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-25 05:04:49.810 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 909 ms
2026-02-25 05:04:50.595 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-02-25 05:04:50.603 [main] INFO  com.cryptorate.CryptoRateApplication - Started CryptoRateApplication in 2.152 seconds (process running for 2.744)
2026-02-25 05:04:51.529 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
